Title,Authors,Abstract,Published_Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Human-Machine Interface: Multiclass Classification by Machine Learning on 1D EOG Signals for the Control of an Omnidirectional Robot,"David Perez-Reynoso, Francisco; Rodriguez-Guerrero, Liliam; Cesar Salgado-Ramirez, Julio; Ortega-Palacios, Rocio","People with severe disabilities require assistance to perform their routine activities; a Human-Machine Interface (HMI) will allow them to activate devices that respond according to their needs. In this work, an HMI based on electrooculography (EOG) is presented, the instrumentation is placed on portable glasses that have the task of acquiring both horizontal and vertical EOG signals. The registration of each eye movement is identified by a class and categorized using the one hot encoding technique to test precision and sensitivity of different machine learning classification algorithms capable of identifying new data from the eye registration; the algorithm allows to discriminate blinks in order not to disturb the acquisition of the eyeball position commands. The implementation of the classifier consists of the control of a three-wheeled omnidirectional robot to validate the response of the interface. This work proposes the classification of signals in real time and the customization of the interface, minimizing the user's learning curve. Preliminary results showed that it is possible to generate trajectories to control an omnidirectional robot to implement in the future assistance system to control position through gaze orientation.",2021,,SENSORS,21,17,,WOS:000694556500001,10.3390/s21175882,,#11306,DavidPerez-Reynoso 2021,,
Future opportunities for life science programs in space.,"Yokota, H; Sun, H B; Malacinski, G M","Most space-related life science programs are expensive and time-consuming, requiring international cooperation and resources with trans-disciplinary expertise. A comprehensive future program in ""life sciences in space"" needs, therefore, well-defined research goals and strategies as well as a sound ground-based program. The first half of this review will describe four key aspects such as the environment in space, previous accomplishments in space (primarily focusing on amphibian embryogenesis), available resources, and recent advances in bioinformatics and biotechnology, whose clear understanding is imperative for defining future directions. The second half of this review will focus on a broad range of interdisciplinary research opportunities currently supported by the National Aeronautics and Space Administration (NASA), National Institute of Health (NIH), and National Science Foundation (NSF). By listing numerous research topics such as alterations in a diffusion-limited metabolic process, bone loss and skeletal muscle weakness of astronauts, behavioral and cognitive ability in space, life in extreme environment, etc., we will attempt to suggest future opportunities.",2000,,Korean journal of biological sciences,4,3,239-43,MEDLINE:12760375,,,#13581,Yokota 2000,,
Optimizing mitochondrial maintenance in extended neuronal projections,"Agrawal, Anamika; Koslover, Elena F.","Neurons rely on localized mitochondria to fulfill spatially heterogeneous metabolic demands. Mitochondrial aging occurs on timescales shorter than the neuronal lifespan, necessitating transport of fresh material from the soma. Maintaining an optimal distribution of healthy mitochondria requires an interplay between a stationary pool localized to sites of high metabolic demand and a motile pool capable of delivering new material. Interchange between these pools can occur via transient fusion / fission events or by halting and restarting entire mitochondria. Our quantitative model of neuronal mitostasis identifies key parameters that govern steady-state mitochondrial health at discrete locations. Very infrequent exchange between stationary and motile pools optimizes this system. Exchange via transient fusion allows for robust maintenance, which can be further improved by selective recycling through mitophagy. These results provide a framework for quantifying how perturbations in organelle transport and interactions affect mitochondrial homeostasis in neurons, a key aspect underlying many neurodegenerative disorders.Author summary Neurons contain long projections termed axons and dendrites and a small central body that is responsible for much of cellular biosynthesis. Mitochondria, the energy hubs of a cell, are synthesized in the soma and actively transported to distant sites of high energy demand. Given the extreme distances between these sites and the soma, maintaining distal mitochondrial health poses a substantial challenge. Defects in mitochondrial transport and maintenance are associated with several neurological disorders. Fortunately, mitochondria stationed at distant sites can be 'serviced' by passing mitochondria that emerge from the soma and move around the neuron, as well as through low levels of local protein synthesis. We develop mathematical models for two strategies of mitochondrial maintenance: one with direct protein exchange between moving and stationary mitochondria ('Space Station') and the other with moving mitchondria occasionally replacing stationary ones at the demand sites ('Changing of the Guard'). We find that only a few servicing events and a small motile pool form optimal conditions for maintaining mitochondrial health. The system can be improved further by selectively removing and recycling some unhealthy mitochondria. Our results are consistent with observations of mitochondrial behavior in neurons and form a basis for future quantitative study of mitochondrial maintenance.",2021,,PLOS COMPUTATIONAL BIOLOGY,17,6,,WOS:000664329600003,10.1371/journal.pcbi.1009073,,#11095,Agrawal 2021,,
Comprehensive analyses of plant hormones in etiolated pea and maize seedlings grown under microgravity conditions in space: Relevance to the International Space Station experiment “Auxin Transport”,"Yamazaki, C.; Yamazaki, T.; Kojima, M.; Takebayashi, Y.; Sakakibara, H.; Uheda, E.; Oka, M.; Kamada, M.; Shimazu, T.; Kasahara, H.; Sano, H.; Suzuki, T.; Higashibata, A.; Miyamoto, K.; Ueda, J.","Functional relationships between endogenous levels of plant hormones in the growth and development of shoots in etiolated Alaska pea and etiolated Golden Cross Bantam maize seedlings under different gravities were investigated in the “Auxin Transport” experiment aboard the International Space Station (ISS). Comprehensive analyses of 31 species of plant hormones of pea and maize seedlings grown under microgravity (μg) in space and 1 g conditions were conducted. Principal component analysis (PCA) and a multiple regression analysis with the dataset from the plant hormone analysis of the etiolated pea seedlings grown under μg and 1 g conditions in the presence and absence of 2,3,5-triiodobenzoic acid (TIBA) revealed endogenous levels of auxin correlated positively with bending and length of epicotyls. Endogenous cytokinins correlated negatively with them. These results suggest an interaction of auxin and cytokinins in automorphogenesis and growth inhibition of etiolated Alaska pea epicotyls grown under μg conditions in space. Less polar auxin transport with reduced endogenous levels of auxin increased endogenous levels of cytokinins, resulting in changing the growth direction of epicotyls and inhibiting growth. On the other hand, almost no close relationship between endogenous plant hormone levels and growth and development in etiolated maize seedlings grown was observed under μg conditions in space, as per Schulze et al. (1992). However, endogenous levels of IAA in the seedlings grown under μg conditions in space were significantly higher than those grown on Earth, similar to the cases of polar auxin transport already reported.",2023,,Life Sciences in Space Research,36,"(Yamazaki C., yamazaki.chiaki@jaxa.jp; Yamazaki T., yamazaki.tomokazu@jaxa.jp; Suzuki T., suzuki.tomomi@jaxa.jp; Higashibata A., higashibata.akira@jaxa.jp) Japan Aerospace Exploration Agency, 2-1-1 Sengen, Ibaraki, Tsukuba, Japan(Kojima M., mikiko@riken.j",138-146,,10.1016/j.lssr.2022.10.005,,#3957,Yamazaki 2023,,
Core-shell protein clusters comprising haemoglobin and recombinant feline serum albumin as an artificial O<sub>2</sub> carrier for cats,"Yokomaku, Kyoko; Akiyama, Motofusa; Morita, Yoshitsugu; Kihira, Kiyohito; Komatsu, Teruyuki","This report describes the synthesis and structure of core-shell protein clusters comprising haemoglobin (Hb) at the centre and recombinant feline serum albumin (rFSA) at the exterior, named as haemoglobin-albumin clusters (Hb-rFSA(3)). Specifically, we highlight their capability as an artificial O-2 carrier that can be used as a red blood cell (RBC) substitute for cats, the most populous pet animal in the world. First, rFSA was expressed by genetic engineering using Pichia yeast. The proteins show identical features to the native FSA derived from feline plasma. Single crystals of rFSA were prepared under a microgravity environment on the international space station (ISS), from which the structure was first revealed at 3.4 angstrom resolution. Subsequently, bovine Hb was wrapped covalently by rFSA using an alpha-succinimidyl-epsilon-maleimide crosslinker, yielding Hb-rFSA(3) clusters. Three rFSA entities enfolded the Hb nuclei satisfactorily, giving the protein clusters a negative surface net charge (pI = 4.7) and preventing an immunological response against anti-Hb antibodies. The O-2 affinity was higher (P-50 = 9 Torr) than that of the native Hb. The Hb-rFSA(3) clusters are anticipated for use as an alternative material for RBC transfusion, and as an O-2 therapeutic reagent that can be exploited in various veterinary medicine scenarios.",2018,,JOURNAL OF MATERIALS CHEMISTRY B,6,16,2417-2425,WOS:000431112400004,10.1039/c8tb00211h,,#9775,Yokomaku 2018,,
Procedures for chemical fixation in immunohistochemical analyses of PIN proteins regulating polar auxin transport: Relevance to spaceflight experiments.,"Kamada, Motoshi; Miyamoto, Kensuke; Oka, Mariko; Uheda, Eiji; Ueda, Junichi; Higashibata, Akira","The mechanism by which gravity controls the polar transport of auxin, a plant hormone regulating multiple physiological processes in higher plants, remains unclear, although an important role of PIN proteins as efflux carriers/facilitators in polar auxin transport is suggested. We are going to study the effect of microgravity on the polar transport of auxin, focusing on the cellular localization of its efflux carrier, PsPIN1 in etiolated pea seedlings and ZmPIN1a in etiolated maize seedlings grown under microgravity conditions on the International Space Station (ISS) using immunohistochemical analyses according to space experimental plans (Ueda, 2016). To obtain adequate results regarding the cellular localization of functional proteins, prolonged chemical fixation processes as well as chemical fixatives should be well-matched to the properties of functional proteins as antigens since experimental analyses will be performed on the ground after keeping samples for a long duration on the ISS. As a result of ground verification, clear detection of the cellular localization of PsPIN1 and ZmPIN1a immunohistochemically was successful based on the results of several kinds of chemical fixation tested, even when etiolated pea and maize seedlings were fixed by immersion in chemical fixative for a long duration. The addition of 0.1% (w/v) Nonidet P-40 to chemical fixative composed of 50% (v/v) ethanol and 5% (v/v) acetic acid or that of 50% (v/v) methanol and 5% (v/v) acetic acid has led to a significant improvement in the immunohistochemical detection of PsPIN1 or ZmPIN1a. These chemical fixatives were also shown to be storage-stable for a long time before use. In this study, adequate chemical fixatives and fixation protocols were developed, which can be used to detect localization of PsPIN1 and ZmPIN1a proteins in young etiolated pea and maize seedlings, respectively, using anti PsPIN1 and ZmPIN1a antibodies. These protocols can be used in spaceflight experiments to investigate the effects of the microgravity environment on the ISS on PIN protein localization in pea and maize seedlings. Copyright © 2018 The Committee on Space Research (COSPAR). Published by Elsevier Ltd. All rights reserved.",2018,/,Life sciences in space research,18,101632373,42-51,,https://dx.doi.org/10.1016/j.lssr.2018.05.005,30100147,#1562,Kamada 2018,,
Permanent phenotypic and genotypic changes of prostate cancer cells cultured in a three-dimensional rotating-wall vessel,"Rhee, HW; Zhau, HE; Pathak, S; Multani, AS; Pennanen, S; Visakorpi, T; Chung, LWK","A three-dimensional (3D) integrated rotating-wall vessel cell-culture sr;stem was used to evaluate the interaction between a human prostate cancer cell line, LNCaP, and microcarrier heads alone, or microcarrier beads previously seeded with either prostate or bone stromal cells. Upon coculture of LNCaP cells with microcarrier beads either in the presence or in the absence of prostate or bone stromal cells, 3D prostate organoids were formed with the expected hormonal responsiveness to androgen, increased cell growth, anti prostate-specific antigen production. in this communication, we define permanent phenotypic and genotypic changes of LNCaP cells upon coculture with microcarrier beads alone, or with microcarrier beads previously seeded with either prostate or bone stromal cells, Most notably, rye observed selective genetic changes, i.e., chromosomal losses or gains, as evaluated by both conventional cytogenetic and comparative genomic hybridization, in LNCaP sublines derived from the prostate organoids. Moreover, the derivative LNCaP cells appear to hare altered growth profiles, and exhibit permanent and stable changes in response to androgen, estrogen, and growth factors. The derivative LNCaP sublines showed increased anchorage-independent growth rate, and enhanced tumorigenicity and metastatic potential when inoculated orthotopically in castrated athymic mice. Our results support the hypothesis that further nonrandom genetic and phenotypic changes in prostate cancer epithelial cells can occur through an event that resembles ""adaptive mutation"" such as has been described in bacteria subjected to nutritional starvation. The occurrence of such permanent changes may be highly contact dependent, and appears to be driven by specific micro environmental factors surrounding the tumor cell epithelium grown as 3D prostate organoids.",2001,,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,37,3,127-140,WOS:000168690900003,,,#15895,Rhee 2001,,In-vitro
Recurrent isolation of hydrogen peroxide-resistant spores of Bacillus pumilus from a spacecraft assembly facility.,"Kempf, Michael J; Chen, Fei; Kern, Roger; Venkateswaran, Kasthuri","While the microbial diversity of a spacecraft assembly facility at the Jet Propulsion Laboratory (Pasadena, CA) was being monitored, H2O2-resistant bacterial strains were repeatedly isolated from various surface locations. H2O2 is a possible sterilant for spacecraft hardware because it is a low-temperature process and compatible with various modern-day spacecraft materials, electronics, and components. Both conventional biochemical testing and molecular analyses identified these strains as Bacillus pumilus. This Bacillus species was found in both unclassified (entrance floors, anteroom, and air-lock) and classified (floors, cabinet tops, and air) locations. Both vegetative cells and spores of several B. pumilus isolates were exposed to 5% liquid H2O2 for 60 min. Spores of each strain exhibited higher resistance than their respective vegetative cells to liquid H2O2. Results indicate that the H2O2 resistance observed in both vegetative cells and spores is strain-specific, as certain B. pumilus strains were two to three times more resistant than a standard Bacillus subtilis dosimetry strain. An example of this trend was observed when the type strain of B. pumilus, ATCC 7061, proved sensitive, whereas several environmental strains exhibited varying degrees of resistance, to H2O2. Repeated isolation of H2O2-resistant strains of B. pumilus in a clean-room is a concern because their persistence might potentially compromise life-detection missions, which have very strict cleanliness and sterility requirements for spacecraft hardware.",2005,/,Astrobiology,5,3,391-405,,,15941382,#3254,Kempf 2005,,
A COVID-19 Emergency Response for Remote Control of a Dialysis Machine with Mobile HRI.,"Wazir, Hassam Khan; Lourido, Christian; Chacko, Sonia Mary; Kapila, Vikram","Healthcare workers face a high risk of contagion during a pandemic due to their close proximity to patients. The situation is further exacerbated in the case of a shortage of personal protective equipment that can increase the risk of exposure for the healthcare workers and even non-pandemic related patients, such as those on dialysis. In this study, we propose an emergency, non-invasive remote monitoring and control response system to retrofit dialysis machines with robotic manipulators for safely supporting the treatment of patients with acute kidney disease. Specifically, as a proof-of-concept, we mock-up the touchscreen instrument control panel of a dialysis machine and live-stream it to a remote user's tablet computer device. Then, the user performs touch-based interactions on the tablet device to send commands to the robot to manipulate the instrument controls on the touchscreen of the dialysis machine. To evaluate the performance of the proposed system, we conduct an accuracy test. Moreover, we perform qualitative user studies using two modes of interaction with the designed system to measure the user task load and system usability and to obtain user feedback. The two modes of interaction included a touch-based interaction using a tablet device and a click-based interaction using a computer. The results indicate no statistically significant difference in the relatively low task load experienced by the users for both modes of interaction. Moreover, the system usability survey results reveal no statistically significant difference in the user experience for both modes of interaction except that users experienced a more consistent performance with the click-based interaction vs. the touch-based interaction. Based on the user feedback, we suggest an improvement to the proposed system and illustrate an implementation that corrects the distorted perception of the instrumentation control panel live-stream for a better and consistent user experience.",2021,,Frontiers in robotics and AI,8,,612855-612855,MEDLINE:34262944,10.3389/frobt.2021.612855,,#12970,Wazir 2021,,
Morphological and gene expression pattern changes in <i>wrky46</i> mutant <i>Arabidopsis thaliana</i> under altered gravity conditions,"Soh, Hyuncheol; Srikanth, Krishnamoorthy; Whang, Sung Soo; Lee, Sukchan","Arabidopsis roots are important organs for gravity sensing and gravitropic response. Long-term exposure of Arabidopsis to three-dimensional (3D) clinorotation was found to result in increased expression of WRKY46. In this study, the response of wrky46 mutants, constructed by T-DNA insertion, to simulated microgravity and gravistimulation by reorientation was studied. Microgravity conditions were simulated using a 3D clinostat, which simulates weightlessness. Morphological changes, such as root coiling, waving, and multidirectional growth patterns, were observed in the wild type (WT) seedlings after only 4 days of 3D clinorotation treatment, while in the wrky46 mutant seedlings, the changes observed were minimal compared with those of WT seedlings. Polar auxin transport played an important role in the observed morphological changes. Therefore, expression of the polar auxin transport genes AUX1, PIN2, -3, -4, and -7, and ARG1 was analyzed. Their expression was found to be higher in wrky46 seedlings than in WT seedlings under 3D clinorotation. Gravistimulation by reorientation was achieved by horizontally reorienting the seedlings. Root tip bending to 90 degrees was observed in all WT seedlings within 18-20 h, whereas in mutant seedlings, bending of the root tip to a right angle took more than 20 h. AXR expression is known to directly correlate with root tip bending. The expression of AXR1, -2, -3, -4 was found to be higher in WT seedlings relative to mutant seedlings under gravistimulation by reorientation. However, their expression was relatively low in both WT and wrky46 plants under 3D clinorotation. These results suggest that WRKY46 plays an important role in the root gravitropic response, and in the reduction of polar auxin transport that is necessary for decreasing the effect of gravity due to clinorotation.",2015,,BOTANY,93,6,333-343,WOS:000355599900003,10.1139/cjb-2014-0252,,#16822,Soh 2015,,
Adaptive Neural Network Sliding Mode Control for Quad Tilt Rotor Aircraft,"Yin, Yanchao; Niu, Hongwei; Liu, Xiaobao","A novel neural network sliding mode control based on multicommunity bidirectional drive collaborative search algorithm (M-CBDCS) is proposed to design a flight controller for performing the attitude tracking control of a quad tilt rotors aircraft (QTRA). Firstly, the attitude dynamic model of the QTRA concerning propeller tension, channel arm, and moment of inertia is formulated, and the equivalent sliding mode control law is stated. Secondly, an adaptive control algorithm is presented to eliminate the approximation error, where a radial basis function (RBF) neural network is used to online regulate the equivalent sliding mode control law, and the novel M-CBDCS algorithm is developed to uniformly update the unknown neural network weights and essential model parameters adaptively. The nonlinear approximation error is obtained and serves as a novel leakage term in the adaptations to guarantee the sliding surface convergence and eliminate the chattering phenomenon, which benefit the overall attitude control performance for QTRA. Finally, the appropriate comparisons among the novel adaptive neural network sliding mode control, the classical neural network sliding mode control, and the dynamic inverse PID control are examined, and comparative simulations are included to verify the efficacy of the proposed control method.",2017,,COMPLEXITY,,,,WOS:000412857300001,10.1155/2017/7104708,,#11917,Yin 2017,,
Radiation Response of Murine Embryonic Stem Cells,"Hellweg, Christine E.; Shinde, Vaibhav; Srinivasan, Sureshkumar Perumal; Henry, Margit; Rotshteyn, Tamara; Baumstark-Khan, Christa; Schmitz, Claudia; Feles, Sebastian; Spitta, Luis F.; Hemmersbach, Ruth; Hescheler, Juergen; Sachinidis, Agapios","To understand the mechanisms of disturbed differentiation and development by radiation, murine CGR8 embryonic stem cells (mESCs) were exposed to ionizing radiation and differentiated by forming embryoid bodies (EBs). The colony forming ability test was applied for survival and the MTT test for viability determination after X-irradiation. Cell cycle progression was determined by flow cytometry of propidium iodide-stained cells, and DNA double strand break (DSB) induction and repair by gamma H2AX immunofluorescence. The radiosensitivity of mESCs was slightly higher compared to the murine osteoblast cell line OCT-1. The viability 72 h after X-irradiation decreased dose-dependently and was higher in the presence of leukemia inhibitory factor (LIF). Cells exposed to 2 or 7 Gy underwent a transient G2 arrest. X-irradiation induced gamma H2AX foci and they disappeared within 72 h. After 72 h of X-ray exposure, RNA was isolated and analyzed using genome-wide microarrays. The gene expression analysis revealed amongst others a regulation of developmental genes (Ada, Baz1a, Calcoco2, Htra1, Nefh, S100a6andRassf6), downregulation of genes involved in glycolysis and pyruvate metabolism whereas upregulation of genes related to the p53 signaling pathway. X-irradiated mESCs formed EBs and differentiated toward cardiomyocytes but their beating frequencies were lower compared to EBs from unirradiated cells. These results suggest that X-irradiation of mESCs deregulate genes related to the developmental process. The most significant biological processes found to be altered by X-irradiation in mESCs were the development of cardiovascular, nervous, circulatory and renal system. These results may explain the X-irradiation induced-embryonic lethality and malformations observed in animal studies.",2020,,CELLS,9,7,,WOS:000554306700001,10.3390/cells9071650,,#7938,Hellweg 2020,,
Human exposure to space radiation: Role of primary and secondary particles,"Trovati, S.; Ballarini, F.; Battistoni, G.; Cerutti, F.; Fassò, A.; Ferrari, A.; Gadioli, E.; Garzelli, M.V.; Mairani, A.; Ottolenghi, A.; Paretzke, H.G.; Parini, V.; Pelliccioni, M.; Pinsky, L.; Sala, P.R.; Scannicchio, D.; Zankl, M.","Human exposure to space radiation implies two kinds of risk, both stochastic and deterministic. Shielding optimisation therefore represents a crucial goal for long-term missions, especially in deep space. In this context, the use of radiation transport codes coupled with anthropomorphic phantoms allows to simulate typical radiation exposures for astronauts behind different shielding, and to calculate doses to different organs. In this work, the FLUKA Monte Carlo code and two phantoms, a mathematical model and a voxel model, were used, taking the Galactic Cosmic Rays (GCR) spectra from the model of Badhwar and O'Neill. The time integral spectral proton fluence of the August 1972 Solar Particle Event (SPE) was represented by an exponential function. For each aluminium shield thickness, besides total doses the contributions from primary and secondary particles for different organs and tissues were calculated separately. More specifically, organ-averaged absorbed doses, dose equivalents and a form of 'biological dose', defined on the basis of initial (clustered) DNA damage, were calculated. As expected, the SPE doses dramatically decreased with increasing shielding, and doses in internal organs were lower than in skin. The contribution of secondary particles to SPE doses was almost negligible; however it is of note that, at high shielding (10 g cm-2), most of the secondaries are neutrons. GCR organ doses remained roughly constant with increasing Al shielding. In contrast to SPE results, for the case of cosmic rays, secondary particles accounted for a significant fraction of the total dose. © 2006 Oxford University Press.",2006,,Radiation Protection Dosimetry,122,4-Jan,362-366,,10.1093/rpd/ncl438,,#6474,Trovati 2006,,
